   List of levels:

     Level   Energy             Jpi    K
------------------------------------------
    neg100   0.0(0)            1/2-   0.0
  103rh203   39.8(21)          7/2+   0.0
  103rh104   93.0(19)          9/2+   0.0
    neg801   294.6(13)         3/2-   0.0
    neg102   357.1(13)         5/2-   0.0
  103rh205   656.9(19)        11/2+   0.0
  103rh106   820.8(19)        13/2+   0.0
    neg803   847.0(15)         7/2-   0.0
    pos205   903.0(20)        11/2+   0.0
    neg104   919.4(17)         9/2-   0.0
    pos106   1348.7(19)       13/2+   0.0
  103rh207   1523.4(19)       15/2+   0.0
    neg805   1585.7(18)       11/2-   0.0
    neg106   1636.3(19)       13/2-   0.0
  103rh108   1716.1(19)       17/2+   0.0
    pos207   1850.7(20)       15/2+   0.0
   neg1505   1878.1(19)       11/2-   0.0
    pos307   1999.0(22)       15/2+   0.0
    neg206   2033.9(19)       13/2-   0.0
   neg1506   2124.9(21)       13/2-   0.0
    neg307   2219.4(19)       15/2-   0.0
    neg406   2228.0(20)       13/2-   0.0
      n408   2236.2(21)       17/2+   0.0
    pos408   2283.8(20)       17/2+   0.0
    neg208   2343.7(19)       17/2-   0.0
    neg507   2366.0(19)       15/2-   0.0
    neg807   2394.3(21)       15/2-   0.0
    neg108   2416.7(19)       17/2-   0.0
    pos108   2417.9(20)       17/2+   0.0
   neg1207   2444(7)          15/2-   0.0
    neg408   2520.1(19)       17/2-   0.0
  103rh209   2523.9(19)       19/2+   0.0
    neg309   2539.0(20)       19/2-   0.0
   neg1108   2643.3(20)       17/2-   0.0
   neg1507   2688.3(21)       15/2-   0.0
    neg509   2699.5(20)       19/2-   0.0
  103rh110   2738.0(19)       21/2+   0.0
    neg908   2741.1(20)       17/2-   0.0
    neg709   2744.8(20)       19/2-   0.0
    neg210   2751.8(20)       21/2-   0.0
   neg1209   2871.7(20)       19/2-   0.0
    pos209   2882.1(20)       19/2+   0.0
   neg1009   2905.8(20)       19/2-   0.0
    pos309   2910.1(21)       19/2+   0.0
    neg410   2915.8(20)       21/2-   0.0
    neg610   2934.5(20)       21/2-   0.0
      n410   2972.2(20)       21/2+   0.0
    neg311   3012.4(20)       23/2-   0.0
   neg1709   3028.9(21)       19/2-   0.0
   neg1110   3090.7(20)       21/2-   0.0
    pos410   3151.0(20)       21/2+   0.0
    neg511   3227.5(21)       23/2-   0.0
    neg910   3230.2(21)       21/2-   0.0
    pos110   3233(3)          21/2+   0.0
    neg110   3249.0(22)       21/2-   0.0
    neg711   3273.7(20)       23/2-   0.0
  103rh410   3277.4(21)       21/2+   0.0
    neg212   3328.1(20)       25/2-   0.0
   neg1610   3338.2(21)       21/2-   0.0
  103rh311   3396.7(19)       23/2+   0.0
   neg1211   3416.2(20)       23/2-   0.0
    pos211   3487.4(21)       23/2+   0.0
   neg1511   3488(7)          23/2-   0.0
   neg1011   3558.5(21)       23/2-   0.0
    neg612   3615.5(21)       25/2-   0.0
   neg1711   3626.6(21)       23/2-   0.0
  103rh412   3631.1(19)       25/2+   0.0
    neg412   3668.4(21)       25/2-   0.0
  103rh211   3722.1(21)       23/2+   0.0
    neg313   3769.5(21)       27/2-   0.0
   neg1112   3778.5(21)       25/2-   0.0
  103rh112   3867.6(21)       25/2+   0.0
    neg112   3886(3)          25/2-   0.0
    neg912   3909.5(22)       25/2-   0.0
  103rh313   3939.7(19)       27/2+   0.0
   neg1612   3972.0(21)       25/2-   0.0
      n412   4036.7(21)       25/2+   0.0
    neg713   4080.0(21)       27/2-   0.0
    neg513   4105.9(21)       27/2-   0.0
    neg214   4196.0(21)       29/2-   0.0
    pos412   4199(3)          25/2+   0.0
   neg1213   4211.0(21)       27/2-   0.0
    pos213   4274.1(22)       27/2+   0.0
   neg1013   4305.0(21)       27/2-   0.0
  103rh414   4321.6(19)       29/2+   0.0
   neg1713   4446(3)          27/2-   0.0
      n213   4485.1(20)       27/2+   0.0
    neg614   4559.2(22)       29/2-   0.0
   neg1414   4583.0(22)       29/2-   0.0
    neg414   4605.4(22)       29/2-   0.0
   neg1114   4659.8(21)       29/2-   0.0
  103rh315   4705.3(19)       31/2+   0.0
    neg315   4764.2(22)       31/2-   0.0
    neg914   4818.5(23)       29/2-   0.0
      n114   4829.5(20)       29/2+   0.0
  103rh214   4925.6(21)       29/2+   0.0
  103rh114   4946(3)          29/2+   0.0
    neg515   5060.1(22)       31/2-   0.0
   neg1215   5060.1(24)       31/2-   0.0
    neg715   5091.1(22)       31/2-   0.0
      n414   5189(3)          29/2+   0.0
  103rh416   5196.6(19)       33/2+   0.0
      n215   5206.2(20)       31/2+   0.0
    pos215   5217.0(23)       31/2+   0.0
    neg216   5298.2(24)       33/2-   0.0
   neg1015   5304.6(22)       31/2-   0.0
    pos415   5345.3110(0)     31/2+   0.0
   neg1416   5447.2(24)       33/2-   0.0
    neg416   5576.1(24)       33/2-   0.0
      n116   5656.6(21)       33/2+   0.0
  103rh317   5662.9(19)       35/2+   0.0
    neg616   5684.6(24)       33/2-   0.0
    neg916   5741.2(23)       33/2-   0.0
    neg317   5924.7(25)       35/2-   0.0
  103rh116   6024(3)          33/2+   0.0
      n217   6102.8(22)       35/2+   0.0
    neg517   6142(3)          35/2-   0.0
  103rh418   6204.2(19)       37/2+   0.0
   neg1418   6450(3)          37/2-   0.0
      n118   6568.4(24)       37/2+   0.0
    neg218   6588(3)          37/2-   0.0
  103rh319   6747.2(19)       39/2+   0.0
      n219   7114(3)          39/2+   0.0
    neg319   7188(3)          39/2-   0.0
  103rh420   7358.3(19)       41/2+   0.0
   neg1420   7609(3)          41/2-   0.0
  103rh321   7993.6(22)       43/2+   0.0

   List of transitions:

     Ei    Jpi_i ->  Jpi_f   Energy          Intensity    Alpha     Delta Mult
------------------------------------------------------------------------------
     93     9/2+      7/2+   53.20(20)       14.6(5)      2.11e+00   0.00  M1
    357     5/2-      3/2-   62.4(10)        2.9(5)       1.32e+00   0.00  M1
    919     9/2-      7/2-   72.4(10)        3.66(24)     8.64e-01   0.00  M1
   2219    15/2-     13/2-   94.4(10)        0.02(24)     4.06e-01   0.00  M1
   2745    19/2-     17/2-   101.5(10)       0.59(24)     3.31e-01   0.00  M1
   3397    23/2+     21/2+   119.3(10)       0.15(24)     2.11e-01   0.00  M1
   2539    19/2-     17/2-   122.1(10)       4.51(24)     1.98e-01   0.00  M1
   2344    17/2-     15/2-   124.20(10)      18.29(20)    1.89e-01   0.00  M1
   2520    17/2-     15/2-   125.8(10)       0.85(24)     1.82e-01   0.00  M1
   2366    15/2-     13/2-   138.1(10)       0.29(24)     1.41e-01   0.00  M1
   2366    15/2-     15/2-   146.6(10)       0.49(24)     1.19e-01   0.00  M1
   2520    17/2-     15/2-   154.00(20)      5.37(12)     1.04e-01   0.00  M1
   2034    13/2-     11/2-   155.8(10)       0.12(24)     1.01e-01   0.00  M1
    821    13/2+     11/2+   163.60(20)      9.8(5)       8.81e-02   0.00  M1
   2906    19/2-     17/2-   164.7(10)       1.46(24)     8.71e-02   0.00  M1
   2916    21/2-     19/2-   170.8(10)       2.20(24)     7.85e-02   0.00  M1
   2700    19/2-     17/2-   179.30(20)      18.29(20)    6.93e-02   0.00  M1
   2872    19/2-     15/2-   183.6(10)       0.15(24)     1.55e-01   0.00  E2
   2219    15/2-     13/2-   185.6(10)       3.66(20)     6.34e-02   0.00  M1
   2935    21/2-     19/2-   189.5(10)       0.10(24)     5.97e-02   0.00  M1
   1716    17/2+     15/2+   192.40(20)      3.41(15)     5.71e-02   0.00  M1
   2539    19/2-     17/2-   195.10(20)      45.12(12)    5.54e-02   0.00  M1
