   List of levels:

     Level   Energy             Jpi    K
------------------------------------------
      1b08   413.8(4)            8+   0.0
      1b10   679.2(4)           10+   0.0
      1b12   1273.3(4)          12+   0.0
      1b14   2085.5(4)          14+   0.0
      1b16   3061.3(4)          16+   0.0
      1b18   4129.5(4)          18+   0.0
      1b20   5168.0(4)          20+   0.0
      1b22   6082.1(5)          22+   0.0
      1b24   7086.3(6)          24+   0.0
      1a07   374.4(4)            7+   0.0
      1a09   508.1(4)            9+   0.0
      1a11   966.8(4)           11+   0.0
      1a13   1689.8(4)          13+   0.0
      1a15   2581.0(4)          15+   0.0
      1a17   3607.7(4)          17+   0.0
      1a19   4668.6(4)          19+   0.0
      1a21   5608.7(5)          21+   0.0
      1a23   6558.3(5)          23+   0.0
      1a25   7610.1(6)          25+   0.0
      1a27   8755.8(8)          27+   0.0
      2b08   765.2(4)            8+   0.0
      2b10   1137.8(4)          10+   0.0
      2b12   1587.3(4)          12+   0.0
      2b14   2248.3(4)          14+   0.0
      2b16   3017.4(4)          16+   0.0
      2b18   3956.5(4)          18+   0.0
      2b20   5022.5(5)          20+   0.0
      2b22   6213.5(7)          22+   0.0
      2a09   932.9(4)            9+   0.0
      2a11   1304.0(4)          11+   0.0
      2a13   1911.2(4)          13+   0.0
      2a15   2617.4(4)          15+   0.0
      2a17   3489.4(4)          17+   0.0
      2a19   4546.7(4)          19+   0.0
      2a21   5717.5(5)          21+   0.0
      2a23   6908.7(8)          23+   0.0
      5a12   2317.2(4)          12-   0.0
      5a14   2748.1(3)          14-   0.0
      5a16   3192.6(4)          16-   0.0
      5a18   3825.7(4)          18-   0.0
      5a20   4650.1(4)          20-   0.0
      5a22   5644.2(4)          22-   0.0
      5a24   6786.9(5)          24-   0.0
      5a26   8047.7(9)          26-   0.0
      5a28   9397.0(11)         28-   0.0
      5b11   2100.9(4)          11-   0.0
      5b13   2547.5(3)          13-   0.0
      5b15   2952.6(4)          15-   0.0
      5b17   3482.6(4)          17-   0.0
      5b19   4211.8(4)          19-   0.0
      5b21   5126.5(4)          21-   0.0
      5b23   6194.2(5)          23-   0.0
      5b25   7399.0(6)          25-   0.0
      5b27   8719.7(8)          27-   0.0
      5b29   10127.2(11)        29-   0.0
       409   1129.6(4)           9+   0.0
       411   1550.9(4)          11+   0.0
